Longitud,Latitud,Valor
-70.54030,-32.91640,0.90000
-71.44390,-32.92420,2.70000
-71.13060,-33.16690,0.70000
-70.58080,-33.19670,1.80000
-70.89560,-33.19830,0.90000
-70.35720,-33.30860,0.20000
-70.45610,-33.32560,1.40000
-70.36360,-33.34140,1.00000
-70.45080,-33.37030,6.10000
-70.39610,-33.37330,2.00000
-70.60470,-33.41250,15.90000
-70.51420,-33.43310,0.20000
-70.71720,-33.47830,6.30000
-70.13670,-33.48780,5.70000
-70.13420,-33.49000,10.10000
-70.81670,-33.49610,28.30000
-70.11610,-33.58470,0.30000
-70.36690,-33.58750,30.10000
-70.37920,-33.59390,108.00000
-71.33720,-33.66140,14.80000
-70.08330,-33.66670,10.00000
-71.55500,-33.72190,124.10000
-70.30080,-33.73470,74.20000
-70.91670,-33.76670,35.20000
-70.20890,-33.80560,7.70000
-70.88360,-33.81110,21.00000
-70.75000,-33.83330,4.50000
-70.19610,-33.84810,29.70000
-70.87810,-33.87360,0.40000
-70.19780,-33.87830,14.50000
-70.73330,-33.90000,3.90000
-71.75000,-33.93690,185.80000
-70.14560,-33.97810,32.20000
-71.24220,-34.06170,5.00000
-70.84360,-34.18420,10.30000
-70.55060,-34.24030,49.20000
-70.32810,-34.24670,14.60000
-70.56670,-34.25000,28.20000
-71.37170,-34.27310,76.70000
-70.37640,-34.34640,40.80000
-70.30560,-34.36280,5.00000
-70.32580,-34.36690,15.80000
-71.09970,-34.38220,25.80000
-71.16810,-34.43110,15.90000
-70.70280,-34.49220,7.80000
-71.37310,-34.49220,48.70000
-71.79080,-34.57000,9.30000
-71.35140,-34.62670,23.50000
-71.30190,-34.65810,22.30000
-70.87390,-34.68670,10.10000
-70.82670,-34.71860,47.90000
-71.13720,-34.76470,22.80000
-71.11750,-34.76890,43.20000
-71.04580,-34.78890,3.00000
-71.09970,-34.81420,15.70000
-70.56420,-34.81640,38.00000
-70.94190,-34.96530,2.90000
-72.01000,-34.98440,107.10000
-70.80970,-34.99310,40.10000
-70.82060,-34.99610,53.40000
-70.80940,-34.99830,19.60000
-70.63530,-35.04500,27.20000
-71.09110,-35.17310,6.60000
-71.38470,-35.17830,17.70000
-71.01560,-35.27440,26.30000
-71.00280,-35.27830,40.80000
-71.82920,-35.37360,4.10000
-72.20830,-35.40690,462.00000
-71.68110,-35.41670,77.50000
-71.73330,-35.45250,79.60000
-71.29330,-35.48560,13.40000
-71.26500,-35.52860,12.60000
-72.10000,-35.55000,2.80000
-71.70670,-35.55750,178.20000
-71.28330,-35.56390,13.70000
-72.58330,-35.56890,4.40000
-71.53060,-35.58220,10.20000
-71.53580,-35.58920,4.40000
-71.31860,-35.61420,2.10000
-71.53920,-35.61690,3.20000
-71.76780,-35.61690,251.00000
-71.53890,-35.61750,4.90000
-71.26940,-35.63580,13.60000
-71.38390,-35.63890,12.40000
-71.27970,-35.64750,7.60000
-71.34920,-35.66470,281.60000
-71.06830,-35.69890,18.10000
-71.11610,-35.70390,20.30000
-71.11390,-35.70610,139.60000
-71.18060,-35.71470,12.10000
-71.16670,-35.72750,160.10000
-70.77780,-35.73810,2.60000
-71.42170,-35.74280,12.40000
-72.06670,-35.75000,4.20000
-71.00250,-35.75250,2.80000
-71.08640,-35.75440,5.50000
-71.68330,-35.76670,342.90000
-71.58500,-35.77190,25.00000
-71.00190,-35.77280,8.50000
-70.99530,-35.79610,85.60000
-71.83330,-35.81670,122.20000
-70.76060,-35.81970,48.50000
-71.06670,-35.85000,8.00000
-71.23750,-35.85440,1.50000
-71.11690,-35.86670,5.50000
-72.01670,-35.88330,1.00000
-71.01920,-35.88420,69.90000
-71.51670,-35.90000,11.60000
-72.05000,-35.90000,12.60000
-71.29810,-35.90860,21.10000
-71.48810,-35.96360,44.50000
