Longitud,Latitud,Valor
-70.1367,-33.4878,5.7
-70.1342,-33.49,10.1
-70.8167,-33.4961,28.3
-70.1161,-33.5847,0.3
-70.3669,-33.5875,30.1
-70.3792,-33.5939,108.0
-71.3372,-33.6614,14.8
-70.0833,-33.6667,10.0
-71.555,-33.7219,124.1
-70.3008,-33.7347,74.2
-70.9167,-33.7667,35.2
-70.2089,-33.8056,7.7
-70.8836,-33.8111,21.0
-70.75,-33.8333,4.5
-70.1961,-33.8481,29.7
-70.8781,-33.8736,0.4
-70.1978,-33.8783,14.5
-70.7333,-33.9,3.9
-71.75,-33.9369,185.8
-70.1456,-33.9781,32.2
-71.2422,-34.0617,5.0
-70.8436,-34.1842,10.3
-70.5506,-34.2403,49.2
-70.3281,-34.2467,14.6
-70.5667,-34.25,28.2
-71.3717,-34.2731,76.7
-70.3764,-34.3464,40.8
-70.3056,-34.3628,5.0
-70.3258,-34.3669,15.8
-71.0997,-34.3822,25.8
-71.1681,-34.4311,15.9
-70.7028,-34.4922,7.8
-71.3731,-34.4922,48.7
-71.7908,-34.57,9.3
-71.3514,-34.6267,23.5
-71.3019,-34.6581,22.3
-70.8739,-34.6867,10.1
-70.8267,-34.7186,47.9
-71.1372,-34.7647,22.8
-71.1175,-34.7689,43.2
-71.0458,-34.7889,3.0
-71.0997,-34.8142,15.7
-70.5642,-34.8164,38.0
-70.9419,-34.9653,2.9
-72.01,-34.9844,107.1
-70.8097,-34.9931,40.1
-70.8206,-34.9961,53.4
-70.8094,-34.9983,19.6
-70.6353,-35.045,27.2
-71.0911,-35.1731,6.6
-71.3847,-35.1783,17.7
-71.0156,-35.2744,26.3
-71.0028,-35.2783,40.8
-71.8292,-35.3736,4.1
-72.2083,-35.4069,462.0
-71.6811,-35.4167,77.5
-71.7333,-35.4525,79.6
-71.2933,-35.4856,13.4
-71.265,-35.5286,12.6
-72.1,-35.55,2.8
-71.7067,-35.5575,178.2
-71.2833,-35.5639,13.7
-72.5833,-35.5689,4.4
-71.5306,-35.5822,10.2
-71.5358,-35.5892,4.4
-71.3186,-35.6142,2.1
-71.5392,-35.6169,3.2
-71.7678,-35.6169,251.0
-71.5389,-35.6175,4.9
-71.2694,-35.6358,13.6
-71.3839,-35.6389,12.4
-71.2797,-35.6475,7.6
-71.3492,-35.6647,281.6
-71.0683,-35.6989,18.1
-71.1161,-35.7039,20.3
-71.1139,-35.7061,139.6
-71.1806,-35.7147,12.1
-71.1667,-35.7275,160.1
-70.7778,-35.7381,2.6
-71.4217,-35.7428,12.4
-72.0667,-35.75,4.2
-71.0025,-35.7525,2.8
-71.0864,-35.7544,5.5
-71.6833,-35.7667,342.9
-71.585,-35.7719,25.0
-71.0019,-35.7728,8.5
-70.9953,-35.7961,85.6
-71.8333,-35.8167,122.2
-70.7606,-35.8197,48.5
-71.0667,-35.85,8.0
-71.2375,-35.8544,1.5
-71.1169,-35.8667,5.5
-72.0167,-35.8833,1.0
-71.0192,-35.8842,69.9
-71.5167,-35.9,11.6
-72.05,-35.9,12.6
-71.2981,-35.9086,21.1
-71.4881,-35.9636,44.5
-72.0167,-35.9667,3.2
-72.0667,-35.9833,82.2
-71.7228,-36.0,39.0
-71.4419,-36.0028,39.3
-70.5547,-36.0114,15.5
-72.3833,-36.0167,7.8
-72.0833,-36.05,51.7
-71.6972,-36.0733,0.6
-70.9333,-36.1667,64.9
-71.4569,-36.2303,43.0
-72.0,-36.2333,40.0
-71.5325,-36.2361,9.4
-71.5642,-36.2478,6.3
-71.3375,-36.2558,33.3
-71.4189,-36.2567,6.3
-71.6233,-36.3758,30.4
-72.6669,-36.425,21.7
-72.6911,-36.4669,333.0
-72.05,-36.55,38.6
-72.1,-36.55,121.8
-72.2833,-36.55,18.4
-71.5547,-36.5703,110.7
-71.5256,-36.5856,87.3
-72.1003,-36.5967,1.1
-71.7833,-36.6167,1.2
-72.3167,-36.6167,20.4
-72.4892,-36.6261,192.1
-72.2167,-36.6333,26.7
-72.9503,-36.6394,4.6
-71.7667,-36.65,1.7
-72.45,-36.65,124.3
-71.7558,-36.6547,12.2
-71.3208,-36.6583,72.5
-71.2739,-36.6653,30.7
